標題,日期,內文,讚數,留言數
我是查理 I'm Charlene,2023年6月14日,真的太喜歡身上這套穿搭超級顯腿長！這條牛仔寬褲好修飾屁屁而且剛好能遮住肚子最胖的地方穿起來就是瘦！而且是brappers特殊的超薄丹寧布料比起一般牛仔褲薄夏天也能穿得住上衣也是超級顯身材看似平平無奇一穿上去也是顯瘦！真的嚇到另一套牛仔洋裝也是輕薄的夏日材質我喜歡它的扣子是按壓鈕扣所以穿脫都非常快速不用一個一個慢慢解扣子Brappers百貨專櫃和官網全面八折大家可以去逛逛https://reurl.cc/XE6ybR #你的夏日涼伴,529,7則留言
我是查理 I'm Charlene,2023年5月19日,第一次嘗試這種造型看起來有像還在唸書的18歲少女嗎我一開始還質疑髮型師說：「你是要把我綁成三太子嗎？」結果上次發限動的時候超多人回說這樣很好看很像NewJeans （拜託NewJeans 粉不要黑我，不是我說的）今天的照片比較特別的是全都是用 Samsung Galaxy Z Flip4拍的第一次用摺疊手機多角度自拍真的很方便只要單手比5就可以免手持自拍了，拍照不求人！！！！終於不用再求路人幫我拍照了也不用再苦苦哀求老公幫拍直的橫的都可以拍，還可以拍出潮流獨特視角想用主鏡頭高畫素自拍的話，也可以使用封面螢幕自拍可以摺疊螢幕來調整喜歡的拍照角度全身韓系穿搭都可以被拍進去而且我發現Galaxy Z Flip4的拍攝鏡頭會幫你自動美肌不用修圖就可以直接上傳也太方便難怪韓星手裡都有一台想跟上最新流行的韓妞手勢推薦大家試試摺疊機的FlexCam放手自拍Samsung#FlexCam放手自拍#GalaxyZFlip4,"1,239",25則留言
我是查理 I'm Charlene,2023年4月22日,找亮點第一張照片有什麼瑜伽教室不該出現的東西呢？昨天上課到一半忽然一隻貓咪走進教室還直接走到正中央、老師的墊子前給我們示範了一個下犬式然後逕自走去喝老師杯子裡的水喝完水又躺在老師的墊子旁翻肚舔毛睡覺太口愛了啦,"1,462",11則留言
我是查理 I'm Charlene,2023年8月5日,前幾天 I'm Jonas 和他姐姐的對話J：「我昨天去跑步的時候，覺得自己狀態不錯，就一時興起，跑了半馬（21公里），結果今天膝蓋好痛！」J姐：「Jonas，你現在在瑞典了，凡事lagom就好。」Lagom 如果翻成中文，應該可以說是「剛剛好」，凡事剛剛好就好。有時候他們倒咖啡也會說「lagom」，剛剛好的滿度。這不禁讓我思考，這種「剛剛好」的生活哲學，是不是只適合瑞典這種國家呢？在亞洲，如果我什麼都只做到剛剛好（大概是7、8分的努力），可能就是個很平庸的人吧。因為亞洲人口多，競爭激烈，努力沒有剛剛好的，永遠都是在推崇誰誰誰有多努力，越努力越好。我從小學到的觀念就是要特別努力，努力唸書、努力出人頭地、努力找份好工作。但J的父母並不期望孩子出人頭地，他們覺得剛剛好就好，可以住普通的房子，開著普通的車，有份普通的工作，開心健康就好。我覺得這也是瑞典的社會福利好所致，不需要特別努力就能有份工作，不需要努力賺錢也能買房、養小孩（學費政府出）。退休後的醫療費也是政府出，不用擔心養老的問題。所以在瑞典放眼所及之處，大家都過著差不多的生活，沒有誰的房子特別漂亮、車子特別貴，大家穿的衣服都差不多（但也許是因為我不在瑞典富豪圈裡才會這麼覺得）。沒有覺得哪一種生活方式才是對的，只是對於這兩種不同的生活態度有感而發。,"5,959",62則留言
我是查理 I'm Charlene,2023年1月28日,J說很喜歡我穿浴衣喜歡到說要買一套回台灣給我穿,"2,512",34則留言
我是查理 I'm Charlene,3月10日下午10:16,完成了我的人生清單來非洲看動物真的是可以一輩子回味的體驗，太不真實了這次來肯亞safari 獵遊選擇了在Naboisho保護區裡的帳篷飯店，包吃包住包看動物的行程，完美地無可挑惕！一般大家都去馬賽馬拉主區看動物，我們在的Naboisho保護區在它的東北邊，優點是看動物沒有時間限制，可以超早就去，也可以晚上十點看動物（馬拉賽拉只能待到晚上六點半）。還有一個優點是吉普車可以隨意開，所以可以離動物超近（馬拉塞拉只能開在主要道路上）。我們昨天晚上去看動物的時候真的就快嚇死，2隻獅子在吃獵到的長頸鹿寶寶，我們離獅子就只有3公尺遠，他吃到一半突然抬頭看我們，真的很怕他會撲過來吃我們,"3,818",24則留言
我是查理 I'm Charlene,2023年4月15日,出發前的晚餐約會我朋友聽到我要自己出國一週都很驚訝「怎麼沒有跟老公一起去？」「你們真的各玩各的誒」真的是各玩各的沒錯不過不是玩感情啦他喜歡潛水就去綠島潛水一週等他回來我就出國做一個禮拜的瑜伽還可以輪流在家顧貓咪在一起已經第九年了如果你問我維持關係的秘訣那就是不要太常見面保有各自的生活空間很重要（雖然這麼說，但我們還是住在一起7、8年了連我自己都不敢相信竟然能跟一個人在一起這麼久）I'm Jonas,"8,543",58則留言
我是查理 I'm Charlene,1月20日,人生中最冷的一天每一張照片都在強顏歡笑-25度的天氣出門拍照真的是最愚蠢的決定拍到一半覺得我的腳趾要脫落了J：「腳趾會痛嗎？」我：「超痛！」J：「還能感覺到痛表示你沒事，繼續。」我：「」最後一張照片才是我真實的心情,"3,206",34則留言
我是查理 I'm Charlene,2023年8月20日,昨天穿這樣去J爸的音樂聚會結果好多人都來問我們是不是要結婚了首圖比愛心的姿勢還是J媽叫我們比的看起來真的很像婚紗照,"8,052",67則留言
我是查理 I'm Charlene,3月4日下午8:39,來查看烏干達偏鄉學校的教室整修成果，我卻意外地在學生面前哭了老師說有個女生成績很好，但是沒有錢付中學學費（現在這間小學沒有跟她收學費），她再兩年就要升中學，所以問我們可不可以幫她。我跟她說，如果她考上中學的話，我可以贊助她學費，結果這個女生就哭了，我看到她哭，也跟著哭，結果反而變成她在安慰我贊助單一學生這種事情其實很有難度的，因為要定期追蹤（好險有 @helenaviep 願意幫我追蹤），而且這種事很多詐騙，很多學校老師和學生會聯合演出可憐的戲碼來賺取金錢。再加上如果是女學生的話，常常在發育後就被男人騙走、或是懷孕，所以我離開學校前，跟這個女學生千交代萬交代，不要結婚、不要懷孕！（他們國小的年紀而已，但這種事很常發生）總之，我發自內心感謝促成這個計畫所有人的努力去年 I'm Jonas和 @lovebinti.tw 發起的募款活動，在短短的幾個月後就看到了成果，也深深感謝捐款的各位,"4,166",20則留言
