標題,日期,內文,讚數,留言數
丹妮婊姐星球,2月25日下午7:37,"我發現家裡長輩只要出了醫院診間，全部自動醫學系畢業 像是我媽楊邱女它皮膚過敏去看皮膚科，幾天後我詢問她 我：怎麼好像沒有好轉，妳藥吃完了嗎(正想罵醫生怎麼如此沒效果） 邱女：哦我吃了一天啊 我大滑倒說：靠醫生不是開一週的藥嗎你怎麼只吃一天拉 楊醫師回：一天就好，沒有人藥吃這麼多天的啦，這樣太傷身了！ 然後上週施光仲要去照大腸鏡，前一天就是要吃瀉藥搭配2000 cc的水 光仲拿了一個小茶杯,乓一聲放在桌上問我：這杯子是1000cc對吧？所以喝兩杯這樣 幹，他度量衡哪個老師教的????那杯子根本精華液大小!! 我一邊滑倒一邊立刻衝去拿出我的大桶1000cc水壺,指這刻度說：這才是1000啦這個水壺你要喝兩罐！一定要喝完！ 沒想到光仲也是馬上醫學系畢業的對我大吼：我跟你說啦!我去年也是喝這杯子兩杯也是檢查得超清楚!就跟你說沒問題你不要在那亂!!然後是我阿嬤楊劉花雲女士，因為他糖尿病高血壓血糖高各種全餐，所以醫生給她的飲食方針就是不能吃甜食跟水果。 但阿嬤都不顧一切的阿姆阿姆各種甜食跟水果 好青年表弟出面阻止:阿嬤你不能吃這個啦(花生糖)! 阿嬤溫柔的回:唉呦我氣一個米而已啦!!(試一個味道台語)(然後一大口阿姆) 但只要是我們出面阻止 阿嬤這很甜你不能吃啦!!! 楊醫師用掀開屋頂方式嘶吼:哪有什麼都不能吃的道理!!!!什麼都不能吃是ㄞ挖係啊???(要我死台語)吃這些才不會怎樣啦!!!!! 喔掀開屋頂方式為針對我們這票又老又沒結婚又沒生小孩的老孫女哈哈哈哈哈哈哈，對好青年表弟態度則很好哈哈哈哈哈哈哈哈阿!! 我只能說醫生真的很辛苦，因為長輩出了診間全都自動變成醫學系畢業，不是脫韁的野馬，是沒有鐵軌的火車!!!!!!!!!!!!!!他們到底多愛對抗醫學!!!!!! 但偏偏光仲這樣喝居然也照的出九顆息肉搞得我啞口無言!!!!!!!你們怎麼對付家理的沒執照醫師!!! 圖片為北海道小學生體育課上滑雪,全部都高手，當我還站在山頂害怕的時候,他們老早滑到餐廳吃咖哩飯。","8,006",366則留言
丹妮婊姐星球,1月24日,之前在紐約得vlog來了每天累到回飯店就是只能備用電源洗澡洗澡後馬上斷片方式睡死 不用喝酒就斷片第二天晚上已經夠累居然還好死不死去看了一場神難看得破秀睡著八次!!!!!!!!!!!!!!!!!!!!!出來已經快要半夜我非常任性得死要搭uber不肯搭公車回飯店我害怕黑豹靠北浪費先喊老娘有錢！你們知道車程23分鐘大概內湖倒東區要價多少錢嗎台幣2100哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈老娘沒錢了真的是杏鮑菇業配都需要趕快接起來哈哈哈哈哈哈影片在留言,"2,512",48則留言
丹妮婊姐星球,2023年10月11日,那天跟一個女生朋友聊天，她就說他很討厭運動但基於愛美還是開始找教練重訓 這教練在上課一陣子後有建議我朋友，應該要一周兩次，更能有效果(的確一周一次是有點少啦，我倒不覺得他是要賺錢) 我朋友就很討厭運動，遲遲不願意一周去第二次，結果他朋友說:你就是缺一個很帥的猛男教練。 然後他朋友推他了一個帥到爆炸犯法的健身教練，我看到照片後說幹這我要全妝跟噴香水上課哈哈哈哈哈哈哈哈哈哈哈，大家不是很怕教練性騷擾碰學生嗎?ㄟ這不碰我我會發火喔，務必幫我扶腰護槓喔! 我那朋友從此就一天跟原本教練，一天跟帥到犯法教練上課，達成一周兩次。 我問:那你幹嘛不一周兩次都跟帥哥猛男上課啦? 他說:我原本教練也沒有不好啊!!他很有耐心，也建立了我對重訓的概念跟起點，讓我不這麼討厭運動了 我繼續問:那他是長怎樣 他說:就路人，但他上課也上的很好啦，我都不敢讓他知道我現在有新教練猛男上課 我聽到這後秒董，我說:喔喔喔喔，原本教練就是糟糠妻哈哈哈哈你講這麼多哈哈哈哈阿! 他大笑說:對對對!! 我真的是有夠有感，這根本很多人的婚姻故事，持家的糟糠妻~ 不想當糟糠妻的，今天乾媽新品很強，絕對讓你皮膚脫離糟糠妻感 我很愛用也介紹過很多次RéVive 那罐很經典的活膚霜我一直說會彷彿喝下嬰兒的寫 皮膚會火速從粗到不行的木柴變成大理石的光滑表面! 因為它含有甘醇酸，所以只能在晚上用! 這次RéVive推出了另一款厲害新品，早晚都能用的煥膚化妝水 『激光活膚晶露』#綠晶靈 適合誰:混和到油皮的粗垮糟糠妻感皮膚，越粗越有感!!!!!!!!! 皮膚直接變成辣妹光滑嫩小三!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! 很推薦給本來不能用酸，又有粗糙困擾想要更新代謝煥膚的人 它是主打溫和的代謝，怕用酸的人也能用!!! 我覺得一用就彷彿同時間跟三位猛男約會哈哈哈哈哈哈哈哈哈!採陽補陰水!!!!!!那回春程度真的不是蓋的!!臉會變成爆炸性的滑嫩跟亮!!還會拉提!!!! 這罐用了98:2完美黃金比例去調和精華水與複合油 獨創晶光酵素複合果萃之精華水---成分天然可以很細緻溫柔拋光跟提升彈力 光采複合油中結合了山茶花籽油、白芒花籽油、荷荷芭籽油 --- 很快吸收不黏膩又能維持長時間滋潤，也增加皮膚的防禦力 再搭配品牌最台柱的配方成分獨創複合新生胜肽拉緊皮膚，同時加速表皮更新長出嬰兒嫩皮 上下兩層質地，使用前搖一搖倒出來直接往臉上抹~~~~~~ 不用化妝棉擦，直接上臉吸收就能做到代謝，不會浪費也不會油膩，很清爽! 他除了一般拋光亮澤感，最強的是給你多一道功能，就是拉提起來啦!!!!!(因為如果只有單純拋光保濕，我會覺得市面上已經有很類似產品) 皮膚從糟糠妻直接變嫩辣妹，不只變嫩變彈還變緊!!!! 女生不管到任何年紀真的都要為自己的外表做好十足的準備，因為能有更多的選擇權，萬一單身也是能馬上投入市場的，但該不會留言大家都跟我吵著要猛男教練照片哈哈哈哈! 趁週年慶入手新品或是補貨活膚霜都很划算! https://reurl.cc/8NqQ4j ➤ 新品好入手「激光活膚組」活膚晶露 買大送小 ➤ 愛用必囤「經典活膚組」活膚霜 買50ml享70ml RéVive麗膚再生 #RéVive #雙重煥亮 #整肌再現光采 #reviveskincare,652,187則留言
丹妮婊姐星球,2023年4月30日,八成女生超容易有的黃臉婆特質， 5個方法練習避免！希望我的表弟妹都能永遠幸福（真誠）影片拍完後遇到一個火辣單親媽媽，抓著我講她約會對象，真的覺得太棒！！！！,67,2則留言
丹妮婊姐星球,2023年1月7日,我家的狗胖皮小姐最愛的人就是我爸，再來是我，他不太在乎我媽楊邱女哈哈哈哈!她眼裡只有我爸啦!!!我爸到哪她就要到哪! 一開始到我家的時候胖皮真的非常害怕，每天小媳婦感無敵重，但隨著我們一家人的無限寵愛，我以為永遠小媳婦的胖皮也漸漸的賤賤起來! 那天我媽在廚房切熬高湯的排骨肉，胖皮原本在客廳躺著，就飄去了廚房，站在邱女的腳邊盯著邱女看，邱女只好拿排骨肉給胖皮吃，吃了好幾塊。 從那天之後，原本不在乎秋女的胖皮，只要邱女出現，胖皮就會跑到她腳邊徘徊!!!!光仲叫她過來，胖皮來!!過來啦胖皮!!! 胖皮還不過來哈哈哈哈哈哈哈哈哈哈!!!!!居然抵抗聖旨!!!!!以往我爸只喊一次胖皮絕對會過來，我爸的話就是聖旨，胖皮居然完全無視哈哈哈哈哈哈! 搞得邱女很困擾的一直說:沒有了沒有了!今天沒有煮!!(配上雙手空空動作) 到底什麼排骨肉!!!!!!!!!!!!!!!比一堆零食還要強大!!!!!!!!!!!!(因為我們三人本來就會輪流餵狗零食) 要不然就是我在吃飯的時候，胖皮跑到我腳邊(因為零食罐在飯桌) 胖皮等著要我餵她吃，由於考量到她是一個青春少女要顧身材，我說不行啦你今天吃太多了! 此時施光重再次叫:胖皮過來!!不要再去要吃的 胖皮!!過來!!! 胖皮~~~~~~~~~~~~~~~~ 胖皮只盯著我完全不鳥我爸哈哈哈哈哈哈哈哈哈再次無視聖旨!!畢恭畢敬的小媳婦為了吃，聖旨都聽不到了 慈母多敗兒日記下台一鞠躬  領養不棄養喔,1.2 萬,190則留言
丹妮婊姐星球,2023年3月12日,綜口味東京員工旅遊～（照片不是環球影城喔）我正式宣布，東京一天直接比滑雪八天還累！！我身為小運動咖，之前滑雪特訓都一次8天左右，腳都覺得可以負荷但東京一天直接腿段！！（故意錯字）馬克說：這才剛開始，我們明天還有迪士尼。我原本配好可愛皮鞋，直接馬上恐懼之心改成好穿的休閒鞋！然後到了迪士尼一看，馬的櫻花妹一堆穿高跟鞋的哈哈哈哈哈哈哈哈哈哈，怎麼可能！！！！！他們腿是不是其實是義肢！！！@orlando_1218@sunshineelaii@get_a_rooom #tokyo #tokyodisneyland #disneysea,1.3 萬,145則留言
丹妮婊姐星球,2023年3月16日,東京5天（第五天移動回台不算其實是4天）我回台直接去按摩刮痧哈哈哈哈哈哈哈哈哈哈哈哈，再多待三天東京我直接過世退休！！我滑雪訓練10天也沒累成這樣好嗎！！！迪士尼所有的隊伍都長到繞地球八圈，那長度真的除非我今天不幸成為難民要領食物我才有辦法排，只買了一張天價台幣400快速通關玩一個設施，就此結束設施的部分如果你們要去迪士尼，高度建議一定要先查攻略！！謝謝好旅伴賴桑跟紀董幫忙拍照，不然只想坐在旁邊發呆的我肯定什麼都沒有拍已經回台灣工作啦只是日本綜口味員工旅遊照片一直沒發～～你們有每次東京體力直接掏空的毛病嗎？#disneysea #迪士尼 #迪士尼樂園 #tokyodisneyland #thenorthface #thenorthfacetaiwan,981,24則留言
丹妮婊姐星球,2023年9月14日,半年前瑪莉珍開始流行，很多大品牌甚至精品也出，我就買了一雙，結果血流成河，前面磨爛後面也磨爛，我就上Ann'S網站逛，就沒有出我想要的款，我就問老闆娘何時會出瑪莉珍鞋啦!結果他說喔喔那我們做給你啦! 所以就這樣又聯名了，這居然是第四次哈哈哈哈哈哈哈哈哈 一貫秉持著我對鞋子舒服度的極高要求，因為我的膝蓋開刀過，一穿到不行的鞋子就要去復健很煩，因為我復健地方神遠，我住汐止，那醫生在板橋。 這次一共聯名了四款 顏色很多 ~~~ ○圓頭娃娃厚底瑪莉珍 (備註:可以去迪士尼一天) 超多人很愛問我可不可以穿去迪士尼，這變成一個什麼鞋子舒適度的指標? 那既然這樣我只好直接標記~ 這雙好可愛啊阿阿阿阿阿阿阿阿!配一雙襪子真的是 這雙高度6公分但體感趨近平面! 配小洋裝到百褶裙都是絕佳選擇 腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! ○芭比防水台瑪莉珍(不要穿去迪士尼，除非你是日本長大!!!!!) 這雙高度雖然高達9.5公分，但體感大概砍半喔!!!(但有2公分防水台 這高度市面上滿少的 阿阿阿阿阿阿 這雙超級氣勢但同時又有點小蘿莉!!!這高度的鞋子通常只能出席一個活動，然後就要帶拖鞋去換，但Anns的鞋子你放心，我真的都不用帶拖鞋了!!!!! 這雙版型正常，但腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! ○買一雙等於買兩雙的紳士鞋!(可以迪士尼) 紳士鞋市面上很多~不過 這雙前面的那個橫條可以拆下來替換，所以可以變成兩雙不同的鞋子!!!!有多划算 紳士鞋就是隨便亂搭，短褲短裙長褲一概都沒問題，我超愛! 而且這一雙穿起來，滿滿的踩沙發感(你要說踩屎感我也是認同啦!!!) ○奢糜女人特殊跟穆勒(可能可以迪士尼) 這雙我超愛，寬腳板超友善的尖頭鞋喔!!! 他好優雅~~~~我上周蘭蔻活動穿絲質長洋裝就配這雙 上班族被摧殘做報告做到早上三點，七點還要起床趕出門跟客戶開會的，但又不能過邋遢，你的上班套裝長褲或短裙都能配這雙!而且速度超快哈哈哈哈穿了就跑去追捷運!!! 而且根還是多面切角，很有細部的巧思~https://annstar.tw/DannybeeechANNSTAR,883,15則留言
丹妮婊姐星球,2023年3月8日,近期又發現很多很棒的東西要跟你們分享！這次還有配件跟心碎嗚嗚雷品哈哈哈哈哈哈哈哈！,219,3則留言
丹妮婊姐星球,2023年6月22日,不好意思，那天索爾來台宣傳沒跟大家公開~哈哈哈阿哈哈哈阿哈哈哈這罐來自18世紀法國的百年老牌 Fer à cheval 法拉夏南法莊園 除垢清潔噴霧，真的超好用!!我已經用了兩個月!!! 這罐是專門噴廁所的乾溼分離門/鏡面/玻璃/水龍頭/浴缸/磁磚牆壁各種地方的水垢皂垢存在的地方，當然廚房也可以，真的不用在那用力路啊路(台語)，以馬賽皂為基底+醋製成，噴完後等一兩分鐘，真的隨便擦擦水沖一沖就超乾淨，身為貴氣的國際大懶豬非常適合。雖說我是沒有家庭或小孩，但做家事真的很累，能找到有用又省力的方法當然要優雅的完成!!#法拉夏 是來自法國的百年品牌，一直以來遵循古法來做所有的產品，成分都是植萃，他們還有製皂大師哈哈哈哈哈!!!你說可愛不可愛!!法國工匠在工舫裡面認真的煮這些皂!!!因為來自 #法國原裝進口，所以連瓶子都很有質感很美，超級有歐洲的氛圍，你擺在家裡不用特別收也完全就是氣質好看，要是所有瓶瓶罐罐都能這麼美就好~~為了拍還去找到有乾濕分離的朋友奇葩家，因為我家廁所沒有門，而且我家水龍頭跟浴缸都被我用這罐刷到ber亮哈哈哈哈哈哈哈哈。(不過用這個要注意，人造石/電鍍/石英不能噴喔!不確定的話你先用一滴看看比較安全)貴氣清潔小天使傳送門>> https://pse.is/52t946,"1,632",69則留言
丹妮婊姐星球,2023年8月3日,颱風天下凡解答表妹的愛情問題 表姊你好 我在交友軟體上配對了一個大叔，超快加LINE，本來覺得聊得不錯，後來大叔開始講比特幣，因此狠心跟他說不要騙我了再見，就封鎖了!覺得難過之餘想表姊除了擴大分母，該如何預防遇到詐騙? 以下是我的回答 首先，我要讚揚你有聽進去我的長年宣導重點之一<一開始講任何錢的事情就秒封鎖>，那其他需要秒封鎖的特徵我真的講到爛掉了，就還沒見面愛得死去活來講的一副要娶妳，或是什麼要寄禮物給你之類，或是他人在海外但帳戶怎樣想借你的帳戶匯款(這也可以併到關於錢的一切)等等，都講過了 但表妹問我預防，我必須說沒有辦法徹底預防詐騙集團，就跟沒辦法預防出車禍一樣啊，只能小心，所以只能看到以上特徵後去封鎖。 但如果要論最最最早期的交友軟體詐騙特徵，其實有一條特徵 就是那男的在第一秒就<異常的熱情好聊> 這大概9成9是詐騙集團。因為根據我打滾交友軟體多年的經驗，交友軟體上的男人不論國籍，喔百分之一百，一開始，請注意，是最一開始，都是這四種 冷靜無聊/微難聊/超難聊  頂多頂多頂多就是--- OK可聊 (強調是一開始喔，因為有些人慢熱，聊久了會變得比較有話題而好聊)，哈哈哈哈哈哈哈哈阿哈哈哈哈阿哈哈哈哈對，就是被女生嫌棄的那票!!!! 絕對不可能有ㄧ個正常男人在交友軟體上第一秒就很熱情又爆炸好聊，這一概都是詐騙!!!五句話以內就很好聊又熱情如沙漠的，大概就是可以歸納到詐騙。 以下奉上我朋友沙姐，因為日子太無聊，只好回詐騙集團的對話紀錄哈哈阿哈哈哈阿右邊是女生，莎姊，左邊是那詐騙集團，你們說，他有多搞威(台語)我綜橫交友軟體多年，絕對沒有一個非詐騙的男生一開始就如此搞威又熱情如沙漠。不是詐騙集團的男生他們大多隸屬另一個問題:就是他媽的到底多難聊!(對，很嫌棄哈哈哈哈但又沒辦法阿哈哈哈哈哈) 我知道妳們要質疑我，為何這個搞威男就是詐騙集團，幹，他ig全都假粉絲，一個留言都沒有，還秀一張2億台幣的支票還三小的，他媽的有夠粗糙比我一個月沒刮的腳皮還粗。 而且那男的一直要講他夢想，莎姊打死不問哈哈哈哈哈哈哈哈哈哈哈，幹連我都想知道夢想男到底夢想是什麼!!!!! 備註：照片應該是盜用喔,"2,874",184則留言
