Like Count,Post Date,Comment Count,Hashtags,content
1397,2024-03-30 14:12:15,2,"['新嫩皮精華已經是十年前了', '新嫩皮精華', '維他命c', '淡斑美白', '膠原蛋白', 'kiehlstw', '契爾氏']","我第一次用契爾氏激光極淨白淡斑精華 #新嫩皮精華已經是十年前了！
真的太可怕😱
時間也過太快！

那時候覺得貴捨不得買
是從櫃上給的試用包開始用
擦完以後覺得皮膚真的有變白才狠下心來買了人生中第一瓶專櫃美白淡斑精華
 
現在十年過去了
維他命C這個成分忽然變得很紅
但其實新嫩皮精華本來就有添加醫學維他命C在裡面了
特性是高穩定不易氧化
也比較溫和不刺激
而且維他命C還能偕同膠原蛋白作用
等於是美白+抗老 一瓶就能搞定！
「新嫩皮精華」名字真的取對了😆
 
我自己習慣早晚都擦新嫩皮精華
用量會用一整個滴管
保養品不要省！用量要足夠才不會白做工

有興趣的人快去限動點連結免費領激光雙星3件組
這次試用組很澎湃哦
NO.1新嫩皮精華+NEW三酸煥膚精華+膠原蛋白粉一包
 
買新嫩皮精華搭配任一精華
還會再免費贈送一盒30天份的膠原蛋白粉喔
大家千萬不要錯過！
 
#新嫩皮精華 #維他命C
#淡斑美白 #膠原蛋白 #Kiehlstw #契爾氏"
6029,2024-03-28 13:17:01,33,[],"Finally a “sunny” day☀️
開心地蹦蹦跳跳

這裡一週大概有一天會有太陽
真的是稀缺
我是不是移民錯國家了？

如果再重選一次
我想選峇里島或日本🤣🙈"
5607,2024-03-27 14:11:10,70,[],"Jonas昨天拿著一個包裹
說：「我最近幣圈賺了點錢，所以買了這個。」

打開以後是這堆vintage 咖啡杯盤組😂😂😂

我真的沒想到

我以為男人賺了點錢就會想要買車買錶買遊戲買公仔

萬萬沒想到是買古董咖啡杯

看來我低估了 @jonas.tjd 的婦女感😂

大家猜猜一個咖啡杯+盤要多少錢🤓"
8427,2024-03-24 13:27:43,83,[],"織了一件裙子給小黑
她看起來好像不太滿意😆"
5170,2024-03-21 12:57:29,290,"['33上妝法', '心機妝前乳', '牛奶粉底', '輕羽粉餅']","學不會修容？
沒關係，我們直接放棄😆
不用再畫黑黑的修容
只要加強打亮的部位就好！

可以用 #33上妝法 多上一層妝前乳畫3

👉想要臉更立體的人 
在鼻梁、顴骨、下巴、額頭 
拍開後，臉上就有立體光澤感

👉如果是臉部凹陷的人
可以在太陽穴、顴骨下方、唇周
點上再拍開臉就會直接澎起來

#心機妝前乳 有2色：自然色和明亮色
明亮色的提亮去黃效果更明顯
自然色比較自然
我個人更常用紫色款

上完妝前乳
可以選擇擦粉底液或粉餅
不要問我要選哪一個
因為這三個都好用爆表
絕對不會踩雷

立體臉我會推薦用 #牛奶粉底 
超級貼妝又細緻 可以加強立體光澤
乳液一樣的質地用手推就能輕鬆上妝
遮瑕力8成左右
持妝力90分！
很適合混合肌、混合偏乾肌使用

澎潤臉我會推薦用 #輕羽粉餅 也是彩妝界長青樹🤣
紅了5年以上還是賣很好
因為它粉細又貼妝不卡粉 
上在臉上毛孔直接消失 隱藏臉部凹陷處

重點是這三樣價格都有夠合理
不會讓你覺得被剝了一層皮
趁現在打折入手更划算🤩

現在水蜜光持妝組 限時57折 $1890
LINE Pay 10%優惠 (單筆上限200點)
下單還送蜂蜜香皂
滿額1800贈奶霜摺疊隨行杯!
輸入”MQ01“再贈潔顏油

留言告訴我你喜歡立體臉還是澎潤臉就抽出一位送出一瓶正貨妝前乳(不挑色)！

@maquillagetw"
4133,2024-03-17 14:21:24,8,[],用Ricoh gr3x拍的一些烏干達日常
15648,2024-03-16 13:40:44,34,[],"照片裡的小男孩
我們大家一致認為他前途不可限量
就因為他送了我一串香蕉😆

事情是這樣的
我們到中高年級的班上講一些鼓勵的話
叫大家好好念書什麼的
但我上台真的不知道講什麼🤷🏻‍♀️
我就隨便說了句：
「我喜歡吃你們這裡的香蕉」
跟台灣的香蕉不一樣
酸酸甜甜的
烤出來超好吃🤤

結果他隔天就帶了一串那種香蕉給我
在海倫的盤問下才發現
原來他根本不是中高年級的學生
他是低年級的學生
偷偷跑到中高年級的班上
想聽我們說了什麼
然後把我隨口說的一句話放在心上
送了香蕉給我
而我也回送了他文具組
（鉛筆橡皮擦削鉛筆機）

用一串香蕉換到這些
真的值了！
（因為這些文具在烏干達很貴）
覺得他好聰明
（朋友說以後應該很會把妹😆）"
7389,2024-03-13 12:50:45,48,[],"來肯亞看動物
最開心看到的就是可愛的小獅子和小獵豹
其實獅子算是蠻容易看到的
因為他們是群居動物
數量有到幾百隻
但是獵豹和花豹數量非常非常少
要人品爆發才能看到

看到這隻獵豹媽媽和她的兩個小孩時
領隊告訴我們
獵豹沒有固定領地
所以他們會不停地移動
尋找安全的地方
但周遭危機四伏
尤其是獅子數量龐大
像這隻獵豹媽媽
本來有五個小孩
但其他三隻被獅子咬死了
只剩照片裡的這兩隻

一個單親媽媽根本不是整個獅群的對手
因為獵豹交配完以後
公豹就走了
只剩母獵豹一個人帶小孩
要帶到小豹三歲左右學會打獵才能獨立

我們看到牠的時候
牠想打獵
但遠處有隻鬃狗
鬃狗會把牠獵到的食物偷走
所以牠一直遲遲沒有行動

整個過程牠一直左顧右盼
沒有絲毫鬆懈
只能說單親媽媽真的太難了！
不只是獵物會被搶走
就算獵到食物
在吃東西的時候也是最容易被獅子攻擊的時刻
獅子會從背後攻擊獵豹
他們最主要的目標就是母獵豹
因為媽媽一死
她的小孩根本無法在草原生存
所以獵豹數量越來越少

導遊說曾經有過一隻母獵豹被獅子咬死
剩下的獵豹寶寶也全都死了
我們問：「為什麼不救那些寶寶？」
導遊：「就算救了牠們，牠們也會失去在大草原生活打獵的能力，將來就只能送去動物園，關在動物園的日子有比較好嗎？」

車上的大家都沈默了，我們安靜地在車上看著這隻疲憊的母獵豹，心裡期待她能開啟狩獵的行動，但遠方的鬃狗遲遲沒有離去，我們也只能開著車走了，只見母獵豹的身影越來越小，消失在地平線中。

Photo by @jonas.tjd"
22178,2024-03-10 14:10:55,71,[],"完成了我的人生清單
來非洲看動物✅
真的是可以一輩子回味的體驗，太不真實了🥹

這次來肯亞safari 獵遊選擇了在Naboisho保護區裡的帳篷飯店，包吃包住包看動物的行程，完美地無可挑惕！（可以邊吃飯邊看窗外的斑馬長頸鹿🦒）

一般大家都去馬賽馬拉主區看動物，我們在的Naboisho保護區在它的東北邊，優點是看動物沒有時間限制，可以超早就去，也可以晚上十點看動物（馬賽馬拉只能待到晚上六點半）。

還有一個優點是吉普車可以隨意開，所以可以離動物超近（馬賽馬拉只能開在主要道路上）。

我們昨天晚上去看動物的時候真的就快嚇死，2隻獅子在吃獵到的長頸鹿寶寶，我們離獅子就只有3公尺遠，他吃到一半突然抬頭看我們，真的很怕他會撲過來吃我們🥶

明天再分享照片給你們💓"
9886,2024-03-09 03:24:35,58,[],"人生第一次看到獅子本獅🦁️
真的會嚇歪！
尤其是牠朝你走過來的時候（抖"
