Like Count,Post Date,Comment Count,Hashtags,content
8536,2023-09-14 13:04:29,96,[],"半年前瑪莉珍開始流行，很多大品牌甚至精品也出，我就買了一雙，結果血流成河，前面磨爛後面也磨爛，我就上Ann'S網站逛，就沒有出我想要的款，我就問老闆娘何時會出瑪莉珍鞋啦!結果他說喔喔那我們做給你啦! 

所以就這樣又聯名了，這居然是第四次哈哈哈哈哈哈哈哈哈 

一貫秉持著我對鞋子舒服度的極高要求，因為我的膝蓋開刀過，一穿到不行的鞋子就要去復健很煩，因為我復健地方神遠，我住汐止，那醫生在板橋。 

這次一共聯名了四款 顏色很多 ~~~ 

○圓頭娃娃厚底瑪莉珍 (備註:可以去迪士尼一天) 
超多人很愛問我可不可以穿去迪士尼，這變成一個什麼鞋子舒適度的指標? 
那既然這樣我只好直接標記~ 
這雙好可愛啊阿阿阿阿阿阿阿阿!配一雙襪子真的是 炸裂可愛

這雙高度6公分但體感趨近平面! 配小洋裝到百褶裙都是絕佳選擇 

腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! 
 
○芭比防水台瑪莉珍(不要穿去迪士尼，除非你是日本長大!!!!!) 

這雙高度雖然高達9.5公分，但體感大概砍半喔!!!(但有2公分防水台 這高度市面上滿少的 

阿阿阿阿阿阿 這雙超級氣勢但同時又有點小蘿莉!!!這高度的鞋子通常只能出席一個活動，然後就要帶拖鞋去換，但Anns的鞋子你放心，我真的都不用帶拖鞋了!!!!! 
這雙版型正常，但腳肥的或是要穿襪子的一ˊ定要拿大一號喔!!! 

○買一雙等於買兩雙的紳士鞋!(可以迪士尼) 
紳士鞋市面上很多~不過 

這雙前面的那個橫條可以拆下來替換，所以可以變成兩雙不同的鞋子!!!!有多划算 
紳士鞋就是隨便亂搭，短褲短裙長褲一概都沒問題，我超愛! 

而且這一雙穿起來，滿滿的踩沙發感(你要說踩屎感我也是認同啦!!!) 

○奢糜女人特殊跟穆勒(可能可以迪士尼) 
這雙我超愛，寬腳板超友善的尖頭鞋喔!!! 
他好優雅~~~~我上周蘭蔻活動穿絲質長洋裝就配這雙 

上班族被摧殘做報告做到早上三點，七點還要起床趕出門跟客戶開會的，但又不能過邋遢，你的上班套裝長褲或短裙都能配這雙!而且速度超快哈哈哈哈穿了就跑去追捷運!!! 
而且根還是多面切角，很有細部的巧思~

@annstarkol 
@annsgirls"
1484,2024-03-15 13:05:14,15,"['skiitw', 'pitera透亮顏究社', 'skii無可取代透明感', 'skii精華王者青春露', 'skii小燈泡精華', '7天有感明亮', '謝謝pitera', 'skiipartnership']","我還沒有出道的時候，就被朋友總監燒到SK-II青春露，自己存錢跑去買，我當年還是上班族的時候玩票性質在部落格寫下我對青春露的震撼，現在網路上都還找的到!!!!!!!!青春露真的太強大了!當年一舉讓我皮膚從貨艙到商務艙!!!!!
 
當年因為我治療痘痘差不多之後，就覺得奇怪，我已經不會一直長痘痘了，但也稱不上皮膚好? 我就真的把廣告上面女明星的廣告撕下來放到自己臉旁邊照鏡子比對，看了就哀傷，女明星是光透亮又煥發感，但我怎麼灰暗粗黃，就老鼠皮啊，但還不是米老鼠，是料理鼠王哈哈哈哈哈!!!!!我覺得我整個人很像黑白照片裡面的人!
 
然後當時友人，很懂保養的總監，說青春露有多神多強，我就買來用，真的一個多月後，我去吃喜酒的時候，隔壁一個大哥說ㄟ你皮膚很好ㄟ!
 
ㄟ，我壓根忘記那是誰的喜酒，誰在乎哈哈哈哈哈!但我永遠記的這句話，因為那是我生平第一次收到這個誇獎!!!!!!!!!!第一次總是特別感動跟印象深刻!!!!!
 
他會很強而有力的讓你的皮膚<整體全方位變健康>，沒辦法用單一功能定義。
 
肌膚會呈現一種倒退嚕到幼童時期才有的新生的透明感!!!!!!
 
很像你皮膚從皮蛋變成了水波蛋，然後全部集合就是你整張臉!!!!!!!!

那震撼度只差沒想用青春露泡澡哈哈哈哈阿哈!!!真的照鏡子會感動，覺得就算餓肚子也值得阿阿阿啊!!
 
當年只有22k薪水的我，因為覺得用化妝棉這樣化妝棉會吃掉很多珍貴的青春露，所以我都直接到在手上往臉上潑，效果也很強，坦白說我這幾年都這樣潑灑啦哈哈哈看你個人習慣~
 
那同時也可以跟別的功能精華液一起疊擦能更有加乘的效果
 
如果你還想要邁向韓國女團又透又白的話(根本透白到五官都要沒啦!!!!)
 
SK-II小燈泡精華可以一起擦擦看，這罐我也很愛，我當年是被朋友鳳姐燒到，他當年是SK-II櫃姐，她不會騙我哈哈哈哈!
 
SK-II小燈泡精華
這罐去年還升級配方，淡黃感真的很厲害，認真用也會讓皮膚那種很不均勻的暗可以變均勻!
 
SK-II經典傳奇成分PITERA™，加入獨有光蘊複合精粹、專研SDL PRO及稀奢雪蓮提取精粹，這雪蓮的花期還只有四天超短!!
 
兩個一起認真用，就是亮白濾鏡的肌膚，頭等艙的皮膚真的是可以靠努力跟砸錢來的，寫文當天我剛好人在機場，我前面一個女的身穿LV大衣，愛馬仕包包，香奈兒耳環，其他我忘了就真的全身名牌，就暴發戶貴婦，我正在讚嘆她好有錢時
 
我眼睛自動掃射到皮膚就很粗，粉很浮又卡(頭髮還很毛)，瞬間喊咖讚嘆哈哈哈哈哈哈阿哈，那真的是把喜馬拉雅皮拿來背我都覺得超枉然哈哈哈哈哈哈哈!我追求的是韓團女明星的那種肌膚!!那才是我心中的喜馬拉雅皮!!!!!!!!!!!!!!!!!!!!!
 
現在有新客體驗組不到$3000就能把青春露和小燈泡一起帶回家，把肌膚升級成韓團女明星等級，真的是滑倒的滑!!!如果之前有在觀望的表弟妹可以趁這個機會下手!
現在全球通貨膨脹，我說過什麼？買東西就是等有優惠的時候再下手，現在機會來了，快衝吧!
 
#SKIITW #PITERA透亮顏究社 #SKII無可取代透明感  #SKII精華王者青春露 #SKII小燈泡精華 #7天有感明亮 #謝謝PITERA #skiipartnership"
8376,2024-03-12 13:47:21,72,[],"上週跟助理去日本出差，這次出差是請助理訂房間(備註:有時候出差並非客戶訂飯店)，我們抵達之後，房間就跟照片呈現的一樣，很大，是塌塌米房間，我每次到飯店都很喜歡趕快看一眼廁所，我喜歡檢查廁所很美好的感覺。我就把牆壁上所有的拉門一個一個拉開，我一直在打開大雄房間的拉門概念 

 

打開都是跟大雄的房間一樣，裡面都放棉被~然後~~~~ 

 

然後就都棉被哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 

 

幹我有看錯嗎?!這麼大一間房間，居然，裡面沒有廁所?????????? 很像老二超大但沒精蟲
 

我崩快地跑出房間，看到走廊盡頭，是公用女廁，然後洗澡還要下樓公共洗澡區 
 

我先不管洗澡的問題 

馬的我半夜起床尿尿，還要先糾結走廊有沒有女鬼!?!?!?!?!?!!?!?!?!?!?!!?!?而且萬一我想大便怎辦????隔壁間聽我交響樂?? 

 

我先聲奪人的說:我不是難搞，我已經中年婦女了我沒辦法過這種少年人宿舍生活阿哈哈哈哈哈哈哈! 

 

我叫助理當下馬上找那一區剩下的飯店房間，條件超簡單:房間有廁所飯店有電梯!!!!!我必須立刻要烙跑! 

 

我立刻打給客戶請他留步!!(她剛剛才送我們到飯店) 拜託回來載我們!!!!!我的房間沒廁所!!! 

客戶說:喔!!!蔡哥跟你們住同一間飯店，他剛問我日本飯店費用會退款嗎?難怪他剛剛還問我婊姐要在這住幾晚....... 

我想說，蔡哥這麼紅，應該很賺阿，他怎麼如此親民跟勤儉持家住在宿舍風旅館???真是一個節儉的網紅~~(跟助理誇讚他)但看來是晚上去尿尿時走廊遇到女鬼，蔡哥也想烙跑了嗎?? 

然後助理火速訂到飯店後，我們又很辛苦的把全部行李全部再搬運到樓下(對，還沒有電梯)，我安慰著自己，嗯!今日達成減肥醫生對我的期望，勞動量很大。 

 

上了客戶的車，透過客戶跟蔡哥聯絡上，我實在太好奇他是不是半夜尿尿時，走廊遇到女鬼，所以也想烙跑。 

 

沒想到蔡哥在電話上回答:不是女鬼，是這旅館洗澡的地方，超小，大家距離超近，一個極小的浴缸，然後大家肩並肩泡在一起，浴缸旁邊就是淋浴的地方(我內心幻想小丸子他家浴室)，結果這裡都台灣人，我洗澡時被認出來說:ㄟ你是蔡哥嗎? 

 

哈哈哈哈哈哈哈阿哈哈哈哈哈哈這是什麼畫面哈哈哈哈哈哈哈!那要是我硬住下來，就是直接給粉絲驗貨我的隆乳。 

 

我說:ㄟ那這樣不就粉絲知道你樓下尺碼了??應該不會漏氣吧!!! 

 

蔡哥回:喔因為現在是冬天，所以膨脹係數沒有很夠... 

哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈所以隔壁打招呼男生看到蔡哥樓下很小我到底聽了什麼故事哈哈哈哈哈哈!所以他回房間會跟朋友宣布蔡哥尺碼哈哈哈哈哈哈! 

後來我跟助理烙跑到火速下訂的飯店，標準就是房間有廁所，飯店有電梯。標準低到好像是擇偶條件是，只要是男人，有份工作。 

結果我們逃難來到了時光隧道，穿越到50年前，昭和時期風的飯店，我第一次在日本坐到冷冰冰的馬桶，因為他沒有免治馬桶哈哈哈阿哈哈哈!這機率真的也是日本製的壓縮機啦哈哈哈哈哈哈! 

 

兩小時候的深夜，客戶傳訊息來:報告，蔡哥也要烙跑了~ 
 

哈哈哈哈哈哈哈哈哈哈哈!!當然要烙跑!!這樣每天洗澡壓力多大!!!跟粉絲玩檢查身體的遊戲，難道要等到半夜沒人時才能洗嗎?????要是我可能還要縮小腹洗澡，還不能吃晚餐。 

 

後來隔天工作時遇到蔡哥，蔡哥說:我其實有先自省我是不是難搞沒辦法吃苦?但看到你烙跑，我也就跟著烙跑了~ 

 

我說:你真是一個好人，因為我劈頭就對助理說我不是難搞!但請你現在給我找有廁所的飯店!我完全沒有自省哈哈哈哈哈哈哈哈哈哈哈哈哈哈阿哈哈! 

結論就是:蔡哥人品很高尚，樓下尺碼未知🤣
 

圖片 既然跌倒了不要浪費，那睡一下好了"
4579,2024-03-09 12:27:41,55,[],"我真的生活天才
好啦我會去看七龍珠"
2649,2024-03-08 12:52:02,16,"['乳霜就是海洋拉娜', '海洋拉娜晶凍凝霜']","天后Selena Gomez大發胖，我非常欣賞她坦然面對的態度!!!!我覺得很健康而且好可愛喔(她發以前瘦的照片說回不去)
 
但不知道是她本人意願還是造型師，可惜老是穿一些真的多吸一口氣衣服就會爆炸成碎片的衣服!好險她不是活在亞洲，不然大眾老早用各種難聽的形容詞來羞辱她了!!!!
 
我想說美國人很能接受女生變大尺碼，畢竟我到美國差不多是竹竿，果然大概一大半的人說她還是好性感好辣，但也高達一半的網友也是在說她很肥:她怎麼每一個典禮都再多胖一點?
 
所以我問美國人黑豹，因為黑人真的滿喜歡圓潤女，:你覺得selena gomez身材變化如何?
 
黑豹:我不覺得她變胖怎麼樣，那樣的身材很棒的。但她的臉到底為何變這麼老?(黑人問號)
 
哈哈哈哈哈哈哈哈哈哈哈哈!!!我超訝異他居然看的重點跟我完全不一樣!!!!!!
而且連他一個直男的天生弱視(?)都一眼覺得天后變老?
 
我馬上找她以前照片跟現在照片，喔對，她青春氣息全沒了。原來男人對身材比較弱視，但對老沒有?!!?!?!
 
 
一堆國外網友說她站在瑞絲薇絲朋可以當她媽年紀的旁邊(她大selena 17歲)，但看起來卻年紀一樣。
 
不~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 
而且我無法反駁!!!你們自己去找那影片!!!瑞絲超像她姊妹!!!!!!
 
喔我要當瑞絲!!!如果你也想當瑞絲的，保養OCD最近認真用了LA MER新品 好適合即將來的爆炸熱夏天
 
海洋拉娜晶凍凝霜
 
適合誰:貴族想抗老的油田/喜歡清爽保養品/保養的男生/台灣春夏/受粉刺毛孔困擾的人
 
油肌夏季用也適合的輕盈抗老乳霜
 
這罐同樣有海洋拉娜的核心技術成分  奇蹟活凝金萃™
是Max Huber這位博士，為了修復自己燒傷的皮膚
在深海裡找到了富有生命力的深海巨藻，從中研發萃取出的超級珍貴稀有成分
 
我一直以來有用海洋拉娜的舒芙乳霜，非常好用，我其實最早是被朋友燒到經典乳霜，她都買最大ML數的家庭號，她就說超有感皮膚很細很緊。
 
但因為我油田我比較不適合經典，我就用同系列比較輕的舒芙乳霜，印象最深刻是我只要踏入美國皮膚就會爛掉，連續在美國皮膚滑鐵盧，老脫皮又痛又長痘痘，後來有一次就發狠扛了舒芙乳霜去(因為玻璃罐很重很不想帶)挖!!皮膚沒發瘋!!!!!就真的修護的很好!!!!!!!!!!!!!那一次感受到LA MER強大威力!!!我還上網查，好幾個網友說他們用酸類後臉很痛，用LA MER後兩天就好!!!
 
但如果沒事時用就是要認真長期用，皮膚會細緻緊
 
 
現在出了最輕盈版本的凝霜，也承接了一樣的修護抗老功力，是用了全新 超微水晶球結構網 (New Fresh Moisture Matrix Technology)
 
 
一顆顆超微水晶球形成立體結構網，有夠水感輕盈，皮膚瞬間舒爽~一抹就補水的感覺，但皮膚摸起來毫無黏感。台灣春夏的天氣超級適合!!通常這種質地只能保濕，但他卻把修護的奇蹟活凝金萃運用到這樣的質地，很適合油田在台灣的夏天抗老，如果是很追求抗老的男生也很適合!!!!! 油肌也很常有大毛孔、長粉刺的困擾，或是天氣熱一點上完妝就滿面油光，最新研究甚至發現奇蹟活凝金萃可以讓臉部恢復油水平衡的狀態，更可以緊緻毛孔!!
 
簡單來說
 
經典乳霜:大沙漠
舒芙:混和皮或油
凝霜:油田天氣熱時用

想嘗試這款新品晶凍凝霜的油肌表弟妹，可以到我限動領試用包
官網購買輸入我的折扣碼「DANNY」、或專櫃購買時出示我的貼文截圖，會再送7ml哦

@lamertaiwan #乳霜就是海洋拉娜 #海洋拉娜晶凍凝霜"
33276,2024-03-05 12:30:50,425,[],差點出大事
17937,2024-02-26 12:53:15,357,[],你們家也有無照醫師嗎
10770,2024-02-22 13:20:20,132,"['滑雪', 'ski', 'thenorthface', 'hokkaido']","身為台灣小谷愛淩，我真的是在進行滑雪訓練，完全沒有在玩樂的意思，所以我全身痠痛到爆炸，然後我走投無路買了一個我一直覺得很豪小的東西，就是那個磁鐵貼紙易利氣 

他說明書很靠北，說痠痛的點，左右各貼一顆，我想說，老娘整隻腿從北到南都酸炸了哪有辦法說出哪個點 

我就隨便肩膀一邊先個貼兩顆，腿一邊貼三顆，亂貼 

我跟你們說，我的老天，有夠有用!!!!!!!!!!!!!!!!!!!!!!!!!!!!!沒多久後就不酸了!!!!!!!!我那爛掉的肩膀跟腿居然瞬間不痛?????????? 

我馬上立刻把剩下的全拆開，狠狠貼我自己，我一共貼了18顆在身上哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈!!!我就是一個行動的大磁鐵哈哈哈哈哈!我這個人真的有強大磁場!

我查了之後發現原來台灣有賣，代言人不知道為何要穿魔術師的衣服，可能這真的很像變魔法一樣會馬上不痛哈哈哈哈哈哈哈哈 

 

這樣隔天貼著再去滑雪 當然還是會痠，但就是痠痛度下降很多 
 

因為他可以連續貼著五天，所以我現在還沒撕掉，我想說我該不會18顆撕掉那一瞬間，直接酸痛到昏倒在地哈哈哈哈哈哈很像護法沒了! 

 
這東西真的太神，這一輪的撕掉後，我全新一批我目標要貼個50顆哈哈哈哈哈哈哈哈哈! 可能要貼滿也是可以啦唯獨奶頭不用貼這樣

沒有連結因為這不是葉配 

#滑雪 
#ski 
#thenorthface 
#hokkaido"
8285,2024-02-21 12:21:04,30,"['媚點', 'medialuxe', '直覺妝點你的美', '白色媚點', '潤透渲彩唇膏']","我一直有一個很無聊的問題，就是日本冬天時，室內暖氣很強，這樣逛街的時候寒冬大外套拿在手上有夠重，尤其買了幾袋東西後就會變成大包小包的大媽!
 
但穿著真的是直接減肥，熱到人中都流汗。到底要怎樣優雅在日本冬天室內逛街啦哈哈哈哈哈!???
 
之前去日本，在百貨公司買了很多彩妝研究，但要先上樓換免稅的卡，下樓買完後，還要上樓退稅，煩死了!!!!!!
 
反而後來在買開架時覺得很爽，因為可以直接櫃台退稅!去年蹲在日本藥妝店試老半天後買一些 media luxe 媚點回台灣用，我順便講一下粉餅很好用哈哈哈哈哈!但台灣都能買啦!!!!!!!!!!!!!!!!
 
又出現一個開架之光!這質感真的打趴有些專櫃品牌了不誇張!!!!!!那精緻度真得感人又嚇人!!!!
 
媚點 media luxe 潤透渲彩唇膏
@medialuxe_official_tw 
 
來自日本的「media 媚點」的全新支線「media luxe 媚點」
 
純白簡約的全新風格，真的超強超精緻，蓋住品牌名稱，真的會以為是專櫃產品!!!!完全展現日本製的超級精緻質感，對!日本製!看到日本製真的跟日本壓縮機一樣稀少!
 
但價格卻可以負擔又可愛!!!調色又很美又非常好用，好感動能有這樣優質產品!!
 
這次唇膏特色
 
顯色度:
程度不是分數，大概坐落8，就是可以微透但卻又有足夠顯色!晶瑩透亮的澄透唇超美!!
 
添加玻尿酸，超像超潤護唇膏，潤到深處!!很像放在室溫快要融化的奶油!真的超明確的保濕潤澤，但不黏!
 
這款唇膏真的很強，薄擦自然感MLBB，厚擦是優雅的顯色感但卻又是有通透感的顯色!!你就看自己當天心情跟造型自己去調整，亂塗都好看!!!
 
而且這次唇膏有一個很特殊的技術<紅潤亮澤因子>，這種要透不透的唇彩，有一種麻煩點就是萬一嘴巴天生很暗藤木的人，就基本上很難蓋住，好像永遠只能擦顯色度開到100的唇彩，但這技術厲害的地方是遇到很黑的嘴唇like藤木，他的紅度還是能被顯現出來!!!!!ㄧ矯正唇色卻又通透空氣感有夠美!!!!日雜女模的嘴!
 
 
一共六色，每一色都好看!!!可以包個兩三色都不為過!!
 
RD 01  珊瑚橘
一抹清爽的珊瑚，可可愛愛而讓人難以忘懷
 
RD 02  暖陽橙
夏日的那一杯冰鎮新鮮橙汁，活力四射又青春
 
RD 03 盛夏紅
熱情如火的你笑得很開朗，絕對能融化對方
 
RD 04 春櫻粉 
你如同櫻花盛開時那春意盎然的景象，讓人想一看再看
這色一定要看我的擦比較準，本尊是很美溫柔的粉!!!!
 
RD 05 莓果桃
莓果酸甜的滋味，忍不住想一口接一口，留在心頭
 
RD 06 櫻桃紫
如櫻桃般的鮮豔欲滴，誰能拒絕呢?
 
最推薦RD 3.跟RD 4
我素顏擦也超好看超氣色
而且非常可以顯得年輕哈哈哈哈哈
 
這一次管身很特別，有三個不同造型的唇膏外殼，超有質感!真的用起來心情有夠好~~~~你可以挑自己喜歡的型來配唇膏
 
Slim 輕巧-非常纖細氣質，小廢包友善
Modern 現代-流線的設計真的很時髦又簡約 
Lady 優雅-底部加厚可以超穩地放在桌上，手感很穩
 
即日起至3/12前潤透唇膏特價$199
https://bit.ly/3uwxTAX
 
#媚點 #medialuxe #直覺妝點你的美 #白色媚點 #潤透渲彩唇膏"
5715,2024-02-19 12:55:31,1152,"['巴黎萊雅', '撫紋雙霸', '倍速年輕', '冰熨斗', '紫熨斗pro', '3天撫平全臉10大紋路', '普拉斯鏈', '膠原多胜肽']","首圖那些都是要準備很多給各位小祖宗的！請先看這個可怕的故事
 
那天跟一個溫吞老實的單身男生老朋友剛好聊天，剛好聊到🈶一趴，他非常有感而發而誠懇的説：
 
之前有一個女生跟我同年，6年前我還覺得超正

現在有三個小孩應該都有國小2-3年級
看起來很像..歷經滄桑

看了就...如果我真的找了一位幾年後就變這樣的 

我會不會當作出家XD
 
上面對話我原封不動貼，我真的被震驚，他超級草食又溫柔，絕對沒有嫌棄的意思，當媽當然超級辛苦可以理解，他是真的純粹的恐懼！
 
靠我以為這超級草食長年單身難根本看不懂女生外表，我錯了!!!!!
 
誰要老公內心出家啦！！！！！！！！嗚嗚嗚嗚嗚
 
（平衡一下，當然如果老公大走鐘，有些女生也是當作出家，只能狂意淫歐巴）
 
這真的是寫進人類基因的科學事實,因為為了繁衍處良好德後代，所以動物本來自然會喜歡能驅動自己慾望的對象
 
所以保養ocd在此還是非常誠懇鼓勵女生務必務必好好保養！！看起來歷經滄桑就是臉垮了有紋路，要也是我們出家找別人而不是男生出家找別人
 
小資也是有小資的保養方式!找高cp值的保養品就是，如果要以高CP值真的必須大推巴黎萊雅紫熨斗PRO!我之前自己yt拍小資保養品推薦就有選入這一隻!!
 
因為這一支的成分之厲害！普拉斯鏈再配胜肽，完全就是抗老王牌CP !
 
皮膚可以想成鋼筋跟水泥，一個斷了或破了就是開始垮台,然後有老公的老公出家,單身的則是男人打哈欠
 
普拉斯鏈能夠刺激肌膚結構中的鋼筋水泥「醣胺聚醣(GAGs)」生成 ，同時刺激玻尿酸和膠原蛋白，塗在全臉把整個肌膚結構撐回來！這樣就是再滄桑也會像活的很好！！！！
 
從眼睛到全臉跟脖子都能擦,就任何你容易有紋路的地方拉，所以小資族等於還省下眼霜的錢！對因為它是經皮膚科專家測試。無添加香料、色素、酒精(乙醇)的溫和配方。
 
當然！如果你平常都用高貴產品的，這一支全臉按摩用或是擦脖子也很省，肌膚要的各種澎、彈、緊、嫩、滑、亮，直接全包！
 
質地也不用擔心，就是不黏好吸收，真的認真擦一陣子真的會紋路變淡，臉真的小膨澎!希望那位三個孩子的媽再忙也能用這支直接抹全臉！眼睛也抹過去！誰能把我文章給她！
 
還有冰熨斗可以挑選，看你自己需求
 
紫熨斗PRO推薦用全臉，他可以精準點在你想加強的紋路地方，或是直接框擠出來抹全臉（我是這樣啦我全臉都是加強區）
 
另一種是冰熨斗，自帶超導冰熨頭,如果你只是單純當眼霜擦的話可以選這支！冰熨斗按摩超好用的，而且很大一個按起來油舒服又方便，泡泡眼超好用,
 
這次大手筆準備非常多，給不想滄桑的小祖宗們

高CP值”的撫紋產品你必須擁有！
 
#巴黎萊雅 #撫紋雙霸 #倍速年輕 #冰熨斗 #紫熨斗PRO #3天撫平全臉10大紋路 #普拉斯鏈 #膠原多胜肽"
