url,likes,views,content,datetime
/reel/C5JCsvRCDL-/,670,27200,我第一次用契爾氏激光極淨白淡斑精華 #新嫩皮精華已經是十年前了！真的太可怕😱時間也過太快！那時候覺得貴捨不得買是從櫃上給的試用包開始用擦完以後覺得皮膚真的有變白才狠下心來買了人生中第一瓶專櫃美白淡斑精華 現在十年過去了維他命C這個成分忽然變得很紅但其實新嫩皮精華本來就有添加醫學維他命C在裡面了特性是高穩定不易氧化也比較溫和不刺激而且維他命C還能偕同膠原蛋白作用等於是美白+抗老 一瓶就能搞定！「新嫩皮精華」名字真的取對了😆 我自己習慣早晚都擦新嫩皮精華用量會用一整個滴管保養品不要省！用量要足夠才不會白做工有興趣的人快去限動點連結免費領激光雙星3件組這次試用組很澎湃哦NO.1新嫩皮精華+NEW三酸煥膚精華+膠原蛋白粉一包 買新嫩皮精華搭配任一精華還會再免費贈送一盒30天份的膠原蛋白粉喔大家千萬不要錯過！ #新嫩皮精華 #維他命C#淡斑美白 #膠原蛋白 #Kiehlstw #契爾氏,2024-03-30T14:13:41.000Z
/reel/C4xu6LSiOlV/,"5,146",356000,學不會修容？沒關係，我們直接放棄😆不用再畫黑黑的修容只要加強打亮的部位就好！可以用 #33上妝法 多上一層妝前乳畫3👉想要臉更立體的人 在鼻梁、顴骨、下巴、額頭 拍開後，臉上就有立體光澤感👉如果是臉部凹陷的人可以在太陽穴、顴骨下方、唇周點上再拍開臉就會直接澎起來#心機妝前乳 有2色：自然色和明亮色明亮色的提亮去黃效果更明顯自然色比較自然我個人更常用紫色款上完妝前乳可以選擇擦粉底液或粉餅不要問我要選哪一個因為這三個都好用爆表絕對不會踩雷立體臉我會推薦用 #牛奶粉底 超級貼妝又細緻 可以加強立體光澤乳液一樣的質地用手推就能輕鬆上妝遮瑕力8成左右持妝力90分！很適合混合肌、混合偏乾肌使用澎潤臉我會推薦用 #輕羽粉餅 也是彩妝界長青樹🤣紅了5年以上還是賣很好因為它粉細又貼妝不卡粉 上在臉上毛孔直接消失 隱藏臉部凹陷處重點是這三樣價格都有夠合理不會讓你覺得被剝了一層皮趁現在打折入手更划算🤩現在水蜜光持妝組 限時57折 $1890LINE Pay 10%優惠 (單筆上限200點)下單還送蜂蜜香皂滿額1800贈奶霜摺疊隨行杯!輸入”MQ01“再贈潔顏油留言告訴我你喜歡立體臉還是澎潤臉就抽出一位送出一瓶正貨妝前乳(不挑色)！@maquillagetw,2024-03-21T12:58:36.000Z
/reel/C4IqHl9CFl_/,"2,952",215000,大家有看韓劇「請和我的老公結婚」嗎？我擦上這個唇露的時候馬上想到女主角朴敏英在劇中的口紅！真的超像🤩水嫩嘟嘟唇但是不會太閃變成豬油嘴含有74%的唇部養護精華（山茶花精油＋超級保濕金三角）完全沒有黏膩感這就是植村秀新品無色限水光嫩唇露的優點上在手上沒有覺得特別亮但上在唇上那個水光感就出來了塗起來最美的方法先塗在唇中再往外暈開用同樣的方法塗第二層這樣擦會有最剛好的水光漸層感而且可以感受到唇更保濕而且有嫩感還有它的顏色也超令人驚艷！和在管身的顏色看起來不一樣主打色KG BG958煙燻玫瑰色擦起來超嫩超減齡讓我從阿姨直接變成少女🤣KG BG945我也好愛拜託你們要去櫃上試在唇上琥珀茶棕色真的超美！擦上去氣質提升一百分想要當知性時髦小姐姐的人可以選這色KG BG936是陽光少女的奶杏橘色調擦起來就是元氣少女 KG RD158是無花果棕擦起來是滿滿鬆弛感的小性感顏色這個唇露還有個特點就是蠻持色的上唇10秒就成膜吃東西會掉一點顏色但嘴上還是有顏色顏色美、持色、水光感是我喜歡他的主要原因現在已經是我的包包常客！每個包包都放一支😆即日起至3/12：官網買一唇彩新品即送潔顏油15ml官網/專櫃買2唇彩(需至少含1唇彩新品) 送潔顏油15ml+隨身粉嫩鏡@shuuemuratw#植村秀 #無色限水光嫩唇露,2024-03-05T14:08:44.000Z
/reel/C3pp8PvCBGK/,"5,156",229000,之前看到有人說因為怕長皺紋所以不喜歡笑這不是有點本末倒置了嗎？人生就是要經歷所有可以大笑的時刻啊！像我笑的時候會有一堆笑紋但我也不在意過得開心最重要🤍 怕長紋路的話多擦點眼霜不就好了嗎？選眼霜的關鍵就是要成分好最好選有添加胜肽的因為胜肽可以有效撫紋而且還要夠滋潤不長乾紋又要夠清爽不長肉芽因為我對眼霜要求真的很多所以我用的眼霜大多都是專櫃的 但我今天難得推薦開架的眼霜因為這個眼霜用了以前只有專櫃才有的成分就是巴黎萊雅的冰熨斗！裡面用了很有名的普拉斯鏈pro❗️升級成2倍用量！大家都知道，有添加普拉斯鏈的產品都是萬元的貴婦乳霜但現在竟然可以用開架的價錢就買到😍普拉斯鏈厲害的地方就是修護力很強大可以改善老化的肌膚問題鬆弛和皺紋都能得到改善胜肽+普拉斯鏈兩大成分強強聯手光是看到這點就覺得必須要試試 結果的確沒有讓我失望因為在瑞典很乾，超級容易有乾紋但我在這裡的兩個月眼周一條皺紋都沒有出現真的太感動了🥹 冰熨斗還搭配了冰熨斗頭，拿來做按摩只要1滑2點3轉圈，舒緩眼周冰冰的可以消腫也可以針對眼周穴位拿來按壓非常舒服 如果是純粹想要抗皺的人可以選紫熨斗Pro成分一樣厲害差別在於沒有超導冰熨頭但可以擦在臉上任何有細紋的地方也可以擦在脖紋上我習慣晚上擦喔！ 現在買冰熨斗30ml 送2支7.5ml紫熨斗PRO買30ml享45ml，只要1199大家可以試試🤍#巴黎萊雅 #撫紋雙霸 #倍速年輕 #紫熨斗PRO #冰熨斗 #秒淡黑眼圈 #速消泡泡眼 #撫平眼周細紋,2024-02-22T13:09:17.000Z
/reel/C3C8kSqiKwH/,"3,531",268000,瑞典漫長冬天的唯一優點就是可以一直去滑雪以前都要飛日本去滑（噴很多錢）現在開車就能到了🥹今年的目標是達到瑞典小學生的程度💪🏻每次滑雪完皮膚都會變得很可怕因為超冷風又大很容易泛紅又乾燥這時候就必須實行「早P晚R」保養法用HR赫蓮娜的白繃帶早上防護+黑繃帶晚上修護這兩瓶我都各空瓶一瓶了各有各的好！黑繃帶我真的太喜歡有厲害的抗老修護成分普拉斯鏈30%修護效果超強大我很喜歡它 因為質地霧感綿密，上臉不厚重不會太滋潤讓我長痘痘反而皮膚瑕疵越來越少也有抗老緊緻的效果白繃帶我覺得特別適合敏感肌除了也有普拉斯鏈外還有舒緩成分「塔斯米諾」可以修護各種日夜溫差、風吹日曬造成的敏感乾燥泛紅同時達到舒緩+防護的效果我用了以後皮膚越來越健康穩定乾燥脫皮泛紅或過敏很久都沒出現了！大家可以去領試用包體驗一下哦@helenarubinstein_tw #HR赫蓮娜 #黑白繃帶 #24H普拉斯鏈抗老 #日夜接力煥顏新生,2024-02-07T12:21:29.000Z
/reel/C3AaOvmisNF/,"14,625",776000,•唇膏挽救計畫還好有救回來不然錢就白花了😂,2024-02-06T12:46:57.000Z
/reel/C2cW1ReiBA5/,"9,375",465000,我近期愛畫的日常顯嫩妝容年齡直接-10歲😆今天的影片是用哀鳳前鏡頭拍的你們喜歡這種還是我以前那種（用單眼拍的）？,2024-01-23T12:48:12.000Z
/reel/C2M-Db6CfZa/,"1,421",150000,•三步驟畫出韓團嘟嘟唇1. 唇線筆2. Aou lip balm3. 疊擦唇膏在唇中唇線筆的作用是描繪出更漂亮的唇形+遮蓋唇周暗沈以前覺得沒必要，現在才發現唇膏要好看，唇線筆超加分Aou lip balm是有色護唇膏韓團化妝師的牌子比我在韓國買的唇膏還要水潤有光澤想要有女團嘟唇妝效的人一定要試試用過就回不去了保濕、嘟唇、顏色美動態精選裡有全試色今天收單💋有什麼問題都可以問我哦🥰,2024-01-17T13:22:39.000Z
/reel/C2Kav1WimW3/,"1,309",93600,•3種酷茶妝造型你們喜歡哪個？植村秀以烘焙茶葉過程中產生的化學變化為靈感推出三種不同濃度的輕焙棕限量色這次造型換了三色唇彩眼影用同一盤！真的必須歐漏一下植村秀新品時尚大師4色眼影盤 蜜糖茶棕肉眼看是很普通的顏色沒想到擦在眼皮上超好看🤩四種顏色都是不同的質地單用淺色打底會有清冷感（而且這色還能當腮紅）上了其他顏色會有很酷很時髦的妝感完全不會老氣新手也超適合甚至用手指上就超好看這盤眼影我給滿分💯嘴上擦的3色都是日常好駕馭的顏色無色限奶油緞光唇釉KC BR772偏橘裸色調擦上後自帶清冷感自然又顯氣質的顏色無色限輕霧保濕唇膏KM BG942偏冷調的豆沙色裸粉中帶有一絲冷棕這色適合冷膚色的人擦擦起來有種專業又知性的感覺無色限奶油緞光唇釉KC BR737這色就是MLBB唇很像原本的唇色但更好看擦起來嘴唇有種肉嘟嘟的感覺而且唇釉質地很舒服不會乾這三色都是日常百搭色還有其他三色唇彩KC OR557、KM OR543、KM BR781每款顏色都很有個性清冷甜酷隨意選換推薦大家去櫃上試試哪色適合自己🥰1/31前 官網買任一新品享9折彩妝買2送紅絲絨化妝包+無色限輕霧保濕唇膏 精巧版+無極限超時輕粉底5ml@shuuemuratw#無色限唇彩 #時尚大師4色眼影盤 #潮流輕焙棕 #時髦酷茶妝,2024-01-16T13:29:16.000Z
/reel/C2IKhBHiB8K/,"76,837",76800,"現在住在瑞典鄉下沒辦法去髮廊洗頭所以帶了整套卡詩洗髮護髮頭皮精華髮質還是讚讚的比去髮廊省錢😆有購買記得留言訂單編號有機會再帶走【頂級黑鑽髮油100ml】正貨🔥1/16的限時一日優惠滿$4,500贈 10% MO幣(單筆訂單登記送，每“會員”限登記一次，最高送850) 🔥巴黎卡詩  X Momo超級品牌日優惠資訊（1/16-1/18）📌刷MO卡享10%回饋且滿2,000 折 200 (累折)📌滿額贈：滿$12,000贈 洗護旅行六入豪禮組 (價值$3,160)📌限1/17-1/18滿額贈：滿$4,500加贈 洗護旅行二入組 (髮浴80 ml + 熱活精華50 ml) )🔥直播特惠組合 (已抵滿額折)📌恆彩髮浴＋恆彩髮膜買2送2總價值4,180  限定價$3,100 74折 📌黑鑽髮膜買1送2總價值4,950  限定價$2,700 55折 📌黑鑽髮油買大送小 總價值4,100 限定價$2,400 59折 📌粉漾頭皮精華買1送3 總價值$3,370 限定價$1,800  53折@kerastase_official @momoshopping_ @momoibeauty#頭皮秀髮奢養專家 #巴黎卡詩 #抗落保養 #頭皮精華 #髮油 #黑鑽頂級系列 #MOMO超級品牌日",2024-01-16T08:53:39.000Z
