key,value
/reel/C5JCsvRCDL-/,27200
/reel/C4xu6LSiOlV/,356000
/reel/C4IqHl9CFl_/,215000
/reel/C3pp8PvCBGK/,229000
/reel/C3C8kSqiKwH/,268000
/reel/C3AaOvmisNF/,776000
/reel/C2cW1ReiBA5/,465000
/reel/C2M-Db6CfZa/,150000
/reel/C2Kav1WimW3/,93600
/reel/C2IKhBHiB8K/,76800
/reel/C19anNni2a3/,225000
/reel/C17An4DCiA1/,65700
/reel/C1oyr3-iNNj/,270000
/reel/C1W8654CS0X/,167000
/reel/C1HcnY1irCd/,239000
/reel/Cz_FlIhhufE/,372000
/reel/CztUwV7B9nu/,215000
/reel/CzoJsK2h__8/,180000
/reel/CzOmXT4hVFF/,321000
/reel/CzLpLZ7BmIT/,205000
/reel/Cy0prS8hidq/,177000
/reel/CyitXG-hWGF/,149000
/reel/CyVwRNNB_gQ/,196000
/reel/Cx8ELN1B3F9/,250000
/reel/CxfzuViB--Z/,284000
/reel/CxdIn0sBiQJ/,353000
/reel/CxQVTHphjtf/,129000
/reel/CxNZC6chGuh/,138000
/reel/Cw5DkfvhGS3/,197000
/reel/CwP2thtIQ7O/,138000
/reel/CwDEhw9ozru/,77000
/reel/CvZw9_AozU5/,157000
/reel/CuhKrHThxpS/,152000
/reel/CuWzz6xhpD5/,190000
/reel/CuEy-qHhvhM/,235000
/reel/Ct_v3yPBiCq/,185000
