url,likes,views,content,datetime
/reel/C5BT6Sjvqi-/,831,55600,"上週去菲律賓潛水很多智障的故事想分享!!!快去看我直播回放～ 今天乾媽是CeraVe適樂膚唷！丹妮婊姐獨家優惠：結帳輸入專屬代碼【F4AANHWP70S0】享全館滿1200折300（不與全館優惠併用）這個優惠主要適用想單買一組的人唷～找原價2000內組合輸入折扣碼比較優惠！ 超級醫美日全館優惠活動（3/27-3/29）➢ 全館85折➢ 滿2000還可以再折300➢ 下單抽：法國巴黎機票 (價值$35,000)➢ 滿額贈：■ 滿1500贈 B5彈潤修復精華 3ml or 多容安泡沫洗面乳 15ml or 溫和洗卸泡沫潔膚乳 15m■ 滿2800贈 潤膚護手霜 50ml (限量500) or  理必佳滋潤沐浴乳100ml (限量2000) or 溫和泡沫潔膚露 88ml (限量500)■ 滿5000贈 BRITA 3.5L馬利拉濾水壺+全效型濾芯 直播特惠組合：➢ 丹妮婊姐獨家限定-長效潤澤修護霜340g買2送100ml 全館85折特價$1,052 丹妮婊姐獨家折扣碼 特價會是$938 比全館優惠划算➢ 冠軍常銷組-長效清爽保濕乳473ml+長效潤澤修護霜340g  全館85折特價$1,120  丹妮婊姐獨家折扣碼 特價會是$1,018 比全館優惠划算➢ 家庭囤貨組-長效清爽保濕乳（大） 年度限定組  全館85折特價$1,782 最優惠  @momoshopping_ @momoibeauty#CeraVetw #適樂膚 #美國皮膚科醫生推薦第一保濕品牌 #修護敏感神隊友一秒歡送乾癢肌 #DevelopedwithDerm #MoisturizeLikeADerm #momo超級醫美日",2024-03-27T14:08:45.000Z
/reel/C5BONTJP82X/,716,54100,,
/reel/C4sl0apychY/,"8,391",380000,"在此多提供攝影師直男的方法，他說當年他很累，女同事好心幫他按摩，現在那位好心女已經是他小孩的媽哈哈哈哈哈哈哈哈哈!!直男攝影師說男生超吃肢體接觸!但就是需要一個冠冕堂皇的理由這樣(女生可以說自已肩膀很酸好酸??)  感恩影片乾媽  我跟我媽邱女都超愛的茱莉蔻 Jurlique 護手霜  ㄟ護手霜真的有好壞之分，另一位攝影師說他收到同事送的護手霜，他此生手沒在脫皮的人，擦完後不但更乾還脫皮哈哈哈哈哈哈哈!(不是酸類 就名牌護手霜)  茱莉蔻 Jurlique  護手霜一共有四種味道，調香很厲害，我都會大聞自己的手!植物來自南澳阿德萊德山丘上的有機農場的栽種~   玫瑰護手霜：自Jurlique茱莉蔻晨曦玫瑰萃取出花露，以南澳農場的純淨活機土壤栽植培育，創辦人 Ulrike的雙手因為長時間在Jurlique農莊務農，特別容易乾燥，like 媽媽，所以他在1993年，做出第一支玫瑰護手霜，用他自己雙手栽培的珍貴植物搭配果油來保護霜手   薰衣草護手霜：選用來自高海拔的安古薰衣草，純淨的薰衣草精油香氛，帶入輕快果香，很能安穩心情。  茉莉護手霜：以大花茉莉為主體，融合杏桃與木蘭花香調，這一支味道我最最最愛，超希望能出獨立的香水!!!!!!!!!!!!!!!!!!!!!!!  柑橘護手霜：以中調柑橘酸甜氣味，很美味又清新明亮的感覺~  真的用完等吸收後，也不會太久，用手機也不會有什麼嚴重指紋，但手真的會很明確的嫩，有夠好用的~~~~~  這次組合買1送6 只要$1,600!! 沒有用過的朋友真的要試試! 15ml小手霜隨時丟包包保持嫩手囤個3組都不是個問題唉!",2024-03-19T13:00:14.000Z
/reel/C4ncL00ylib/,"4,031",181000,ㄟㄟ我影片中說到的豬隊友感一堆女生都有一樣的苦惱啊哈哈哈哈!我攝影師還說他老婆也嫌棄過一樣的話故事真的是真的我想黑豹從此開竅哈阿哈哈哈哈阿是因為當時我沒有用嫌棄的方式我是真的有感而發的說(然後我還認真的說我打算以後都找女生好友講就好，因為我無法改變男性腦)希望我從此獲得神隊友~~~本次乾媽 底妝神隊友 Bobbi Brown維他命乳霜適合誰:全膚質，想要底妝更持久更貼真的底妝神隊友這罐的「獨家雙面無痕科技」讓肌膚保濕平滑不卡粉，另一面抓緊粉底再來讓粉底很平滑的扒臉 (這是一般保養品乳霜沒有的神奇效果)所以強烈建議化妝前用，不然浪費了這獨特功能。最妙的是他沙漠到油田都能得到共同的結果>>>底妝更貼更持久!!!! 再來另一位維他命精華我趁前陣子有幾天很熱有測，單獨擦他後上妝，也是很扒臉也不搓泥，很清爽、很好吸收!這隻你要擦一陣子後，效果會更好，可以去體驗他讓膚色均勻更亮的那感覺!適合什麼族群買 影片都有解析囉! 男伴豬隊友的苦主可以留言，跟乾媽凹一隻正貨來安慰你#妝前神隊友#妝前神霜 #粉底救星 #bobbibrowntaiwan @bobbibrowntaiwan,2024-03-17T13:17:18.000Z
/reel/C4SyCnXvv0k/,"4,703",204000,我真的生活天才好啦我會去看七龍珠,2024-03-09T12:28:12.000Z
/reel/C4NxrZYvdJ5/,"1,492",119000,跟蔡哥落難,2024-03-07T13:47:58.000Z
/reel/C4LOKOnvaR1/,"3,165",252000,巴黎萊雅x媚比琳 蝦皮超級品牌日，今天買超划算!領券滿799折120而且最高回饋20%蝦幣!!!!!先說下單會抽大禮包今天介紹的組合都是我們精挑細選過的低到39折能不買嗎！？幫你們從保養到彩妝到頭髮都顧好了直播限定3/6 21:00-23:59下單兩品牌直播組合，買一組送一條潔面乳🧡紫熨斗PRO法式舒眠雙霸組39折$1899https://bit.ly/48mKTH9送紫熨斗PRO7.5ml*4=正貨容量!!+玻尿酸眼罩🧡香氛髮油三入組52折$1211https://bit.ly/48mKTXF送Mr. Wish聯名飲料提袋+金色小髮油+電捲棒🧡精緻底妝三入組，先領券只要48折838https://bit.ly/49l445u送Bonny&Read 粉色手機掛繩+FIT ME 粉底液 5ml *2🧡FIT ME PRO二入組47折$669https://bit.ly/3UOu0BY送小C管 5ml *3+Bonny&Read手機掛繩🧡嫩粉餅二入組47折$669https://bit.ly/3SL4b35送小C管 5ml *3+美妝蛋+品牌化妝鏡🧡小煙管二入組41折$588https://bit.ly/49pUaztxoxo手拿鏡+輕柔眼唇卸40ml*2當然要給你們曬單抽，直播按愛心，底下留言單號，3/10截止抽三個巴黎萊雅+MAYBELLINE正貨組!!!!#巴黎萊雅 # #冰熨斗 #紫熨斗PRO #38撫紋雙霸年輕美肌節 #媚比琳 #38玩色心計情人節*贈品限量，優惠以賣場公告為準,2024-03-06T14:23:59.000Z
/reel/C4IfJ_1vH8j/,"35,970",1000000,差點出大事,2024-03-05T12:30:52.000Z
/reel/C3z7OcfvUqE/,"22,104",634000,你們家也有無照醫師嗎,2024-02-26T13:09:24.000Z
/reel/C2zkO3-PGPE/,"7,510",283000,上個月在美國迪士尼命喪黃泉的一天總算剪出來哈哈哈哈哈我平常都三四點才睡，醫生如何罵我我都死皮賴臉的晚睡我還自稱貓頭鷹哈哈哈結果迪士尼第一天累到8:45睡死!!!!連手機都沒滑!!第二天好像是9:00也睡死，也是沒滑手機!!!!GOD 迪士尼可以拿來試試看治療失眠，我知道你要跟我說運動也可以，不!我長年運動，運動是累但迪士尼是累加吸乾靈魂哈哈哈感恩乾媽我熱愛的身體品牌SABON，愛到我出國到哪都會扛那天忘記聊到什麼，我隨口問黑豹你此生最爛的撞破花瓶經驗是什麼他說:就是需要請女生馬上離開的~我:你也太沒有禮貌了吧!不能讓人家睡一覺嗎?到底是發生什麼事??他說:那女生屁股真的超級粗糙，我被嚇壞了好嗎!!!!!!那到底是什麼?..............換我嚇壞，我說:恩我會回家好好每天使用我的 SABON...........以上對話是真的不是我唬爛!!!!!! 我壓根沒想到這麼無聊的理由!!我腦子想到的是折到茄子這類型的大慘案哈哈哈哈阿哈哈哈!!居然只是屁股很粗!!!!對這世界就是如此的不公平，男生可以全身粗的跟苦瓜表面一樣，但女生不行!但畢竟男生還要幫我們背重物或是付錢之類，維持自己身體皮膚高級柔軟也不為過啦這次示範我無敵愛的 SABON 三樣產品• 身體磨砂膏這是最經典的台柱商品，愛瘋!!!! 我幾年前剛認識黑豹，要見他前，我趕回家用了 SABON 整套商品把自己又刷又抹了兩遍哈哈哈哈哈哈哈哈哈哈哈，老母氣得大罵我:你到底在衝蝦米!!!整間厝巄胖共共!!!!SABON 真的是我的愛情幸運符!!!!!!好險我一路都很愛我自己把自己照顧得很得宜，我真的到他講出這段爛往事，才真的知道原來男生是<高度在乎>女生皮膚觸感把細緻的海鹽浸泡在不同香味的植物精油中，用的時候整間廁所真的是彷彿到了麗池飯店高級spa間，香味優雅而宜人，跟普通磨砂膏最大差異是用完後身體已經被擦過一層淡淡的香水，也自帶跟身體合而為一的香氛。奢侈一點也可以泡澡用喔~• 保濕光萃油這油真的是好愛好好用，頭髮跟身體都能用!注入4種植物油:摩洛哥堅果油、荷荷巴油、山茶花油和澳洲堅果油。用噴頭細緻的噴到肌膚上，用來加強很乾的肌膚，我在美國裂到爆炸的身體(都白白的一片超噁)馬上會得到滋潤，但不黏膩，身體也散發細緻香味，所以你就是邊保養邊噴上香水，可以單用也可以混到任何乳液~• 保濕潤膚霜乳油木果油、芥花油一起打造出的滋潤乳霜，碰觸膚溫即化，延展性超級優秀，只要輕輕一抹即能潤澤全身肌膚 ~非常適合皮膚乾燥的時候在冬天使用，如果想要加乘效果，可以把光萃油噴幾下，跟潤膚霜混在一起用，可以讓滋潤效果更加放大還有延長，SABON 這些產品都有非常多不同的香味，香味很主觀也很看心情跟個性，如果可以的話可以到店面聞聞看，找到自己喜歡或命定的味道~除了當作出戰的愛情幸運符(想懷孕的女生可以當幸孕符哈哈哈哈哈哈哈哈哈哈)就算沒有伴侶，日常用也超紓壓超寵愛自己喔!!!SABON官網：https://bit.ly/3Oc0EcA,2024-02-01T13:02:26.000Z
