key,value
/reel/C5BT6Sjvqi-/,55600
/reel/C5BONTJP82X/,54100
/reel/C4sl0apychY/,380000
/reel/C4ncL00ylib/,181000
/reel/C4SyCnXvv0k/,204000
/reel/C4NxrZYvdJ5/,119000
/reel/C4LOKOnvaR1/,252000
/reel/C4IfJ_1vH8j/,1000000
/reel/C3z7OcfvUqE/,634000
/reel/C2zkO3-PGPE/,283000
/reel/C2rvpiSPsBF/,551000
/reel/C2pZiEuvUtT/,158000
/reel/C2hvMcHPOdu/,665000
/reel/C2PhfixyqRm/,1500000
/reel/C2Hy52nLW-N/,1600000
/reel/C19fuN-rFns/,886000
/reel/C12LH4yPvKA/,1400000
/reel/C1pGNDgL2aE/,340000
/reel/C1W31IHL7MW/,344000
/reel/C1U1JipvayO/,17400
/reel/C1Mr-1FvWvu/,529000
/reel/C04AdumAMXi/,642000
/reel/Czi8-5XPHgq/,294000
/reel/Czgi04wvXEJ/,40200
/reel/CzY0J9pPAXD/,32800
/reel/CzOSs78S7zk/,898000
/reel/CzENKY6v-x0/,54800
/reel/CzBlSzVPMUU/,230000
/reel/Cy3xjtKP1k4/,42800
/reel/CynxYBsvjmK/,251000
/reel/Cyix4SkPGhU/,20700
/reel/CygAXBWPDVK/,170000
/reel/CyNy3aovbD9/,264000
/reel/CyGVodKP5yk/,525000
/reel/Cx_J3vivj3i/,38400
/reel/Cx21irpvwny/,239000
